# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  833
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  2 39 7 130235.324712589 0.556663444153977
  1 40 7 105777.312044068 0.237858203733512
  2 40 7 282.74567698493 0.295404104464232
  1 41 7 172195.371940695 0.327346172729995
  2 41 7 46056.3777245781 0.994030515469621
  1 42 7 339645.544605645 0.368315456462939
  2 42 7 322.441388400242 0.461505384764764
  1 1 9 31637.0496632039 0.151455465231613
  2 1 9 46702.2426289995 0.608857030524844
  1 2 9 45641.1172977701 0.194025128027319
  2 2 9 10625.1235835104 0.209224466280901
  1 3 9 38217.5535913094 0.192597423441899
  2 3 9 16274.7407258102 0.223179102338954
  1 4 9 47291.243535829 0.24323345484368
  2 4 9 19615.0336629068 0.216468880082641
  1 5 9 60577.0684658198 0.242425409027967
  2 5 9 34088.6538072909 0.167457398131888
  1 6 9 99723.6429226287 0.268675656884033
  2 6 9 91075.7798519486 0.20330059779376
  1 7 9 98202.9489909923 0.196228277363285
  2 7 9 60072.113140614 0.198130412273185
  1 8 9 59587.7618766637 0.24004692412856
  2 8 9 108762.338056693 0.203948973274238
  1 9 9 90245.3800145772 0.307374127376939
  2 9 9 59821.3646869886 0.160257038672619
  1 10 9 72134.0030076487 0.158928722064625
  2 10 9 76344.3108767854 0.197322162219524
  1 11 9 48805.1449160049 0.209025597619183
  2 11 9 101543.934939199 0.187797177382902
  1 12 9 40174.4851999737 0.203077655979132
  2 12 9 57578.6459640832 0.210025739334857
  1 13 9 69912.981284012 0.238934272627024
  2 13 9 47905.5716884567 0.19790402667063
  1 14 9 35352.8287874794 0.171026119399881
  2 14 9 47293.1082538974 0.254921461455385
  1 15 9 26166.6773506468 0.179364365238368
  2 15 9 40734.3877238693 0.232519412860032
  1 16 9 13843.8739079854 0.210244228568226
  2 16 9 24132.9863351114 0.168595443147695
  1 17 9 13343.9309390123 0.170031592700112
  2 17 9 7008.96885198928 0.200954562062425
  1 18 9 14960.01072983 0.193899133648252
  2 18 9 10174.9322466656 0.211651946225868
  1 19 9 13974.5239218275 0.187538593821919
  2 19 9 21892.8311815977 0.255011166995516
