# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  833
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
1 21  2 3087.87 0.339
2 21  2 6396.15 0.61
1 22  2 2223.35 0.602
2 22  2 5332.62 0.389
1 23  2 4976.78 0.659
2 23  2 6447.51 0.289
1 24  2 1957.22 0.637
2 24  2 5742.43 0.481
1 25  2 188.97  0.51
2 25  2 3117.8  0.338
1 26  2 4562.41 0.548
2 26  2 312.02  0.346
1 27  2 2312.97 0.493
2 27  2 1157.76 0.332
1 28  2 2539.63 0.748
2 28  2 444.57  0.448
1 29  2 46.01 0.452
2 29  2 533.63  0.305
1 30  2 4270.06 0.797
2 30  2 1129.39 0.605
1 31  2 1073.12 0.667
2 31  2 1105.02 0.36
3 32  2 21976.45  0.968
4 32  2 394.64  0.423
3 33  2 5153.13 0.405
4 33  2 2611.19 0.466
3 34  2 6223.12 0.815
4 34  2 6766.86 0.506
3 35  2 5303.76 0.533
4 35  2 3502.43 0.287
3 36  2 62.87 0.372
4 36  2 3810.94 0.366
3 37  2 2377.64 0.791
4 37  2 5268.04 0.488
3 38  2 1075.29 0.633
4 38  2 3619.61 0.645
3 39  2 48616.46  0.827
4 39  2 637.25  0.354
3 40  2 5963.39 0.9
4 40  2 1459.74 0.396
3 41  2 2488.62 0.958
4 41  2 186.15  0.496
3 42  2 1680.83 0.559
4 42  2 1944.3  0.605
1 1 6 4317.12 0.208
2 1 6 7728.4  0.784
1 2 6 3292.35 0.201
2 2 6 1841.75 0.421
1 3 6 2901.29 0.213
2 3 6 5141.94 0.282
1 4 6 10894.36  0.639
2 4 6 10950.72  0.516
1 5 6 14330.58  0.771
2 5 6 935.91  0.477
1 6 6 3630.77 0.318
2 6 6 2093.25 0.386
1 7 6 2464.35 0.23
2 7 6 1822.6  0.531
1 8 6 3729.72 0.223
2 8 6 1581.38 0.349
1 9 6 4379.6  0.263
2 9 6 5577.21 0.357
1 10  6 4544.49 0.349
2 10  6 5379.52 0.329
1 11  6 4541.77 0.221
2 11  6 1012.04 0.4
1 12  6 4440.15 0.255
2 12  6 2316.37 0.607
1 13  6 5849.23 0.234
2 13  6 6777.63 0.69
1 14  6 1896.94 0.241
2 14  6 2493.82 0.465
1 15  6 4301.19 0.475
2 15  6 347.86  0.45
1 16  6 1677.91 0.272
2 16  6 3747.55 0.627
1 17  6 2549.99 0.293
2 17  6 4796.28 0.332
1 18  6 1457.27 0.298
2 18  6 2592.09 0.724
1 19  6 1831.26 0.255
2 19  6 28738.32  0.972
1 20  6 1813.25 0.288
2 20  6 549.6 0.394
1 21  6 2189.11 0.333
2 21  6 1082.79 0.584
1 22  6 1814.63 0.301
2 22  6 3687.04 0.468
1 23  6 3971  0.313
2 23  6 3963.09 0.449
1 24  6 3859.01 0.189
2 24  6 1662.46 0.343
1 25  6 3129.06 0.26
2 25  6 1637.23 0.383
1 26  6 3107.07 0.293
2 26  6 817.23  0.337
1 27  6 2487.48 0.389
2 27  6 142.98  0.322
1 28  6 1962.43 0.345
2 28  6 1063.85 0.537
1 29  6 2048.8  0.31
2 29  6 832.53  0.451
1 30  6 3071.14 0.348
