full time series of predicted survey index
survey year spp area pred_survey
1 26 3 1 741.232
1 26 4 1 413.07
1 26 5 1 17966.4
1 26 6 1 2541.54
1 26 7 1 152102
1 26 8 1 4072.77
1 26 9 1 31576.1
1 26 10 1 3017.75
1 27 1 1 2274.32
1 27 2 1 1794.15
1 27 3 1 710.84
1 27 4 1 397.507
1 27 5 1 24145.4
1 27 6 1 2693.76
1 27 7 1 145573
1 27 8 1 3621.09
1 27 9 1 32180.9
1 27 10 1 1723.56
1 28 1 1 2374.88
1 28 2 1 1835.52
1 28 3 1 670.783
1 28 4 1 363.665
1 28 5 1 29249.3
1 28 6 1 2782.23
1 28 7 1 139186
1 28 8 1 3493.21
1 28 9 1 33088.2
1 28 10 1 1245.92
1 29 1 1 2528.27
1 29 2 1 1786.71
1 29 3 1 622.417
1 29 4 1 329.04
1 29 5 1 33718
1 29 6 1 2857.68
1 29 7 1 132753
1 29 8 1 3505.89
1 29 9 1 34083.1
1 29 10 1 1377.28
1 30 1 1 2396.43
1 30 2 1 1692.66
1 30 3 1 577.139
1 30 4 1 339.113
1 30 5 1 38693.4
1 30 6 1 2867.14
1 30 7 1 127046
1 30 8 1 3623.72
1 30 9 1 33254.6
1 30 10 1 1574.58
1 31 1 1 1920.18
1 31 2 1 1586.83
1 31 3 1 528.906
1 31 4 1 365.76
1 31 5 1 42517.4
1 31 6 1 2785.57
1 31 7 1 121566
1 31 8 1 3568.71
1 31 9 1 32609.6
1 31 10 1 1548.65
1 32 1 1 1523.25
1 32 2 1 1518.48
1 32 3 1 481.457
1 32 4 1 402.935
1 32 5 1 45246.5
1 32 6 1 3407.81
1 32 7 1 116638
1 32 8 1 3448.89
1 32 9 1 29737
1 32 10 1 1261.19
1 33 1 1 1375.05
1 33 2 1 1492.63
1 33 3 1 481.903
1 33 4 1 449.347
1 33 5 1 48919.4
1 33 6 1 3990.75
1 33 7 1 112447
1 33 8 1 3350.81
1 33 9 1 27985.4
1 33 10 1 1172.8
1 34 1 1 1145.51
1 34 2 1 1555.79
1 34 3 1 502.791
1 34 4 1 489.503
1 34 5 1 54276.9
1 34 6 1 4792.25
1 34 7 1 108983
1 34 8 1 3163.52
1 34 9 1 27526
1 34 10 1 1024.13
1 35 1 1 1200.4
1 35 2 1 1583.85
1 35 3 1 524.333
1 35 4 1 513.547
1 35 5 1 59526.3
1 35 6 1 5712.55
1 35 7 1 105909
1 35 8 1 2991.65
1 35 9 1 28266.2
1 35 10 1 977.164
1 36 1 1 1657.02
1 36 2 1 1541.12
1 36 3 1 539.733
1 36 4 1 688.807
1 36 5 1 72811.2
1 36 6 1 6296.32
1 36 7 1 103318
1 36 8 1 2836.43
1 36 9 1 30334.2
1 36 10 1 1039.84
1 37 1 1 2271.53
1 37 2 1 1466.27
1 37 3 1 725.17
1 37 4 1 853.504
1 37 5 1 91005.1
1 37 6 1 6745.69
1 37 7 1 101011
1 37 8 1 2739.05
1 37 9 1 31021.4
1 37 10 1 1104.4
1 38 1 1 3068.21
1 38 2 1 1348.89
1 38 3 1 958.779
1 38 4 1 1031.51
1 38 5 1 104611
