# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  1030
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  2 7 2 2503.67795077972 0.57034007222766
  1 8 2 11.0286931428167 1
  2 8 2 634.316957123213 0.723654092610937
  1 9 2 11.562339585211 1
  2 9 2 605.598908584964 0.457254987684488
  1 10 2 1.68307447527333 0.703210846407743
  2 10 2 82.5480971598702 0.395208894532365
  1 11 2 95.1996792087935 0.601375663623589
  2 11 2 915.539083612967 0.565196579518992
  2 12 2 1225.03548503594 0.686052062200317
  2 13 2 1004.45444664841 0.378997614818957
  1 14 2 4.3011903256985 1
  2 14 2 1192.06224820756 0.459316778181236
  1 15 2 47.0442691873274 0.611089023955187
  2 15 2 74.1955331182991 0.780615956536472
  1 16 2 12.1160290864746 0.702037850017464
  2 16 2 28.6746021713233 0.461790555986525
  1 17 2 120.51644390846 0.948289691951521
  2 17 2 575.456057273818 0.685175011742778
  1 18 2 33.4806270422916 0.544380631361087
  2 18 2 674.067140594541 0.424096495665332
  1 19 2 383.074763382523 0.5393131982084
  2 19 2 1019.99656295136 0.454629127333952
  1 20 2 2196.21384812181 0.88095039530815
  2 20 2 227.94289388021 0.419344308350161
  1 21 2 8495.45840601241 0.799987970388403
  2 21 2 221.384796175658 0.839124360078806
  1 22 2 556.243167351102 0.774991903603438
  2 22 2 123.390397468476 0.424721667998453
  1 23 2 1744.07455287715 0.863215133786584
  2 23 2 360.126935451665 0.387073469025502
  1 24 2 125.065380239541 0.704083892007286
  2 24 2 767.175947183678 0.312793018147624
  1 25 2 7647.29582522908 0.457459057188701
  2 25 2 2801.64965477192 0.459652287866146
  1 26 2 6350.97634028919 0.853197309912465
  2 26 2 10124.3403051057 0.628928805514438
  1 27 2 3174.68809753937 0.61116783920211
  2 27 2 3540.82052343361 0.3895964128798
  1 28 2 10663.1001955003 0.416775375911518
  2 28 2 3213.37605284989 0.495180348393774
  1 29 2 9605.99172739332 0.69077510766454
  2 29 2 2544.30200218567 0.347120352110889
  1 30 2 10369.2421675418 0.793751288508348
  2 30 2 3968.82561871271 0.526946514998015
  1 31 2 3087.86947262833 0.339376634127756
  2 31 2 6396.14820075265 0.609998621037514
  1 32 2 2223.35161611977 0.601950919776798
  2 32 2 5332.62004559237 0.389299707202565
  1 33 2 4976.78133140165 0.658556209578282
  2 33 2 6447.5056971789 0.288585466763824
  1 34 2 1957.2180572831 0.637453135075156
  2 34 2 5742.43146811701 0.480513100150493
  1 35 2 188.974187891759 0.510473149998029
  2 35 2 3117.80293530775 0.338488147626423
  1 36 2 4562.41160684256 0.548437091427541
  2 36 2 312.02044332396 0.345955330423839
  1 37 2 2312.96509764437 0.492912195981742
  2 37 2 1157.75878585064 0.33164245084141
  1 38 2 2539.6281982781 0.747597319880804
  2 38 2 444.56662058694 0.447853531697379
  1 39 2 46.0097025748961 0.451616070879294
  2 39 2 533.62578682559 0.305275882623724
  1 40 2 4270.05790048392 0.797269558848634
  2 40 2 1129.3883082478 0.605264936420634
  1 41 2 1073.11905645447 0.666772556553203
  2 41 2 1105.01841908058 0.359836468902791
  1 42 2 21976.445268133 0.96787270074405
  2 42 2 394.636383090269 0.422601396160012
  1 43 2 5153.12756769013 0.404694020855087
  2 43 2 2611.19396548494 0.465820030674526
  1 44 2 6223.12391738669 0.814873375751391
  2 44 2 6766.85972376814 0.505954372112585
  1 45 2 5303.76399950878 0.533219898766676
  2 45 2 3502.42864173561 0.287403659199158
  1 46 2 62.8684525554518 0.371953858881132
  2 46 2 3810.93859540449 0.365560779244073
  1 47 2 2377.63516360302 0.791301167226987
  2 47 2 5268.03698270193 0.487536998609889
  1 48 2 1075.29254549168 0.633364993316759
  2 48 2 3619.61120520853 0.644823084547079
  1 49 2 48616.4559445147 0.827253682697507
  2 49 2 637.252220074096 0.354235596542703
  1 50 2 5963.38778944586 0.900216415173481
  2 50 2 1459.73606960104 0.395846441583114
  1 51 2 2488.62186422058 0.957770995377006
  2 51 2 186.147429137275 0.496084887173497
  1 52 2 1680.83410548272 0.55870584954739
  2 52 2 1944.30492145197 0.604660139936764
  1 1 6 4194.74672672919 0.175355602150694
  2 1 6 1239.48280353462 0.718957838788902
  1 2 6 2979.95288718906 0.203404494702454
  2 2 6 1074.28791233409 0.613134482427459
  1 3 6 2920.39794421785 0.188813585548466
  2 3 6 1193.30459805276 0.418201534874772
  1 4 6 2287.91015916263 0.21148756057793
  2 4 6 1610.83794550669 0.360182743059789
  1 5 6 1979.40350809508 0.259537594022743
  2 5 6 1189.15261945782 0.402430330218441
  1 6 6 2193.39307653779 0.268115724749969
  2 6 6 5602.15265458943 0.35227390071866
  1 7 6 1554.24655247463 0.414919582981465
  2 7 6 4266.50009131121 0.393880898420674
  1 8 6 2847.60856947526 0.207039504341407
  2 8 6 4383.76540817944 0.267494319984027
  1 9 6 2798.08617962107 0.198081834984396
  2 9 6 2991.32284085375 0.385800117690749
  1 10 6 2616.55744813326 0.206569136973527
  2 10 6 8149.56696380543 0.405779979646942
  1 11 6 4317.12066023813 0.207852633123303
  2 11 6 7728.40320278568 0.784226099165565
  1 12 6 3292.34665806508 0.20094683691091
  2 12 6 1841.74816317788 0.42113653584723
  1 13 6 2901.28980396367 0.213246212842418
  2 13 6 5141.94181428042 0.281911195623627
  1 14 6 10894.3575332854 0.638611588507752
  2 14 6 10950.7226596915 0.516171107727799
  1 15 6 14330.5804757778 0.770976725828606
  2 15 6 935.907154202915 0.476734589561794
  1 16 6 3630.77004958024 0.317978244654253
  2 16 6 2093.2459585066 0.386012658029271
  1 17 6 2464.35349095576 0.23012544486412
  2 17 6 1822.60485034165 0.530741594808484
  1 18 6 3729.71762045311 0.223285411086708
  2 18 6 1581.38291079164 0.349108274212027
  1 19 6 4379.59744101071 0.263214632586959
  2 19 6 5577.21012232239 0.356706403512006
  1 20 6 4544.48998048549 0.348756230758934
  2 20 6 5379.51691439475 0.329322164303112
  1 21 6 4541.76537781384 0.220681608545507
  2 21 6 1012.04478251729 0.399668835756918
  1 22 6 4440.15185929799 0.255345437604282
  2 22 6 2316.37020665221 0.607330296430227
  1 23 6 5849.23134832603 0.233828388168981
  2 23 6 6777.63324049461 0.690301195973316
  1 24 6 1896.93522056447 0.24128388549411
  2 24 6 2493.82146156661 0.464973156265946
  1 25 6 4301.1903256985 0.475237794728556
  2 25 6 347.855829619332 0.449694184969219
  1 26 6 1677.91226768134 0.272355203647803
  2 26 6 3747.5499299291 0.626775991448789
  1 27 6 2549.9914073784 0.293473920223874
  2 27 6 4796.27525381276 0.331528642249673
  1 28 6 1457.26896109487 0.297867921869416
  2 28 6 2592.09300580455 0.724059558699832
  1 29 6 1831.26436594133 0.25527382218443
  2 29 6 28738.3235094818 0.972230757901325
  1 30 6 1813.24690201015 0.287981619167569
  2 30 6 549.596541617031 0.393581429053449
  1 31 6 2189.11328516894 0.332543338576962
  2 31 6 1082.78721632012 0.58392964546944
  1 32 6 1814.63154039419 0.301314005212516
  2 32 6 3687.04026426792 0.467823706697183
  1 33 6 3970.99793705902 0.313235077086734
  2 33 6 3963.08680755902 0.449455855490557
  1 34 6 3859.00590283041 0.188840124890422
  2 34 6 1662.46355827458 0.342529973932846
  1 35 6 3129.06246455355 0.260173692135873
  2 35 6 1637.23017585078 0.383130929442038
  1 36 6 3107.06693073059 0.293410432402762
  2 36 6 817.226161882715 0.337034394121133
  1 37 6 2487.47956982969 0.388647680627492
  2 37 6 142.98199355428 0.321629167505854
  1 38 6 1962.43413531757 0.345442577620755
  2 38 6 1063.84979794238 0.536864637709118
  1 39 6 2048.80032514105 0.310245670031133
  2 39 6 832.526416026369 0.451495677480436
  1 40 6 3071.14299190643 0.348394220746453
  2 40 6 312.218005979708 0.483684059166492
  1 41 6 3555.52033014332 0.210695213443395
  2 41 6 1478.11761773813 0.505437825224827
  1 42 6 5612.13070819021 0.26037397454602
  2 42 6 5390.26308357463 0.436613652073156
  1 43 6 3430.24327643338 0.184269817445717
  2 43 6 3120.03709144068 0.417121054927267
  1 44 6 6619.43212146861 0.224636283033848
  2 44 6 8958.76857464578 0.427028154066731
  1 45 6 4519.08793005509 0.214424452457608
  2 45 6 7600.57162909877 0.358256969308502
  1 46 6 4183.46775417211 0.241986378076999
  2 46 6 9649.05826237915 0.3400116158624
  1 47 6 5740.12288069407 0.278456439376456
  2 47 6 7259.02476461243 0.285873133416327
  1 48 6 3010.7261984921 0.299857497492351
  2 48 6 6187.35370582928 0.212373020514558
  1 49 6 5868.15805264112 0.375235544015774
  2 49 6 4221.09398227887 0.198905098616369
  1 50 6 2753.76176268616 0.252558079911859
  2 50 6 3262.81288205106 0.262770320767619
  1 51 6 3370.06261902126 0.343794671710809
  2 51 6 3114.2342061867 0.302797426147618
  1 52 6 3369.80238286332 0.191002489396663
  2 52 6 2634.58362882825 0.233059984982754
  1 1 1 15290.7316078582 0.271393286949666
  2 1 1 15692.8235292735 0.184281175527345
  1 2 1 8565.19189811942 0.26172564996556
  2 2 1 25401.8607812484 0.160847527051063
  1 3 1 14689.8222332787 0.260883132911459
  2 3 1 20896.6383897382 0.186809654056103
  1 4 1 9647.14583952371 0.273320980961776
  2 4 1 20316.2929866434 0.210667100527739
  1 5 1 47666.176370614 0.595658599705364
  2 5 1 30395.8795037222 0.140705237944107
  1 6 1 40490.2501824561 0.336058675302675
  2 6 1 142833.838401816 0.627105886751017
  1 7 1 13865.1675273017 0.294963779783359
  2 7 1 50491.5153090732 0.164575247866841
  1 8 1 23812.4483976086 0.435898986652853
  2 8 1 36761.1006618381 0.382271937285209
  1 9 1 15524.2446181211 0.256435908971628
  2 9 1 27774.760570412 0.174676971869269
  1 10 1 20664.9314687363 0.203452773958762
  2 10 1 26048.7906470348 0.228312317472351
  1 11 1 29249.0920909054 0.241799049430762
  2 11 1 51735.2088021102 0.250018379470286
  1 12 1 24443.4586661377 0.142636213550947
  2 12 1 25343.9213518919 0.163647146277456
  1 13 1 13085.8215935118 0.225478190042395
  2 13 1 27835.0155546674 0.192013183632222
  1 14 1 22579.6040046176 0.323579734794357
  2 14 1 35265.57333544 0.162432383538487
  1 15 1 5959.03037185992 0.320666395151501
  2 15 1 107473.036195042 0.822390366318268
  1 16 1 16876.7803954231 0.452044832991261
